# Title: Install Community Content,,,
# Description: This option loads Community content on the publish instance for the primary QnA function,,,
QnA,/content/sites/scoring/en/jcr:content/content/primary/qna.social.json,,
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,Hi Pradeep We have to use style but that can be added to RTE. Please refer [1]to implement the same [1]http://blogs.adobe.com/contentmanagement/tag/custom-richtext/ Regards abelman 
ims-55a1d4c1546687760a4c98a4@adobeid.com,0,Live Copy moves don't work after adding mixin to protect new property of content (5.6.1),"(loosely relatedtohttp://help-forums.adobe.com/content/adobeforums/en/experience-manager-forum/adobe-experience-manager.topic.5_ciot.html/forum__bnxr-i_am_tryingtocreat.html) I have created  event handler for AEM 5.6.1 which adds  guid"" property to the cq:PageContent node (jcr:content) of content that is created. After setting the ""guid"" property and saving the node my custom mix:guid mixin is added to the same node. The mixin is defined  [mix:guid] > mix:referenceable mixin - guid (string) mandatory protected The setting of the property and addition of the mixin all seems to work correctly with one exception. When this event handler has applied toLive Copy content moving/renaming a Live Copy master no longer propagates the change to its copies. Other features of Live Copy seem to work fine but when I renamethe master copies do not get moved. From the /siteadmin the copies indicate that the Blueprint page(master) has been deleted. What could be the reason for this strange behaviour and can anything be done to fix it? "
ims-55a1d4c1546687760a4c98a4@adobeid.com,1,Reply,Thanks  I have installedNPR-3561 but the others abdella t appear to be available for 5.6.1. Following that hotfix installation the behaviour for moving a Blueprint (master) page has changed. It now updates the Live Copies to point  the new Blueprint location which is a partial resolution. Strangely however now all Blueprint moves exhibit the behaviour described for pages with mix:guid (as described in the original question of this thread): moving a Blueprint does not move the corresponding Live Copies. Perhaps this now requires the PageMoveAction  a rollout config. 
ims-55a1d4c1546687760a4c98a4@adobeid.com,1,Reply,"Hotfixes: cq-5.6.1-hotfix-3692-1.2.zip cq-5.6.1-hotfix-3565.zip cq-5.6.1-hotfix-4121-1.4.zip cq-5.6.1-hotfix-4387-1.4.zip cq-5.6.1-hotfix-4641-1.0.zip cq-5.6.1-hotfix-4984-1.0.zip cq-5.6.1-hotfix-5220-1.0.zip cq-5.6.1-hotfix-5631.zip CQ 5.6.1 Security Service Pack-1.1.zip /etc/msm/rolloutconfigs.-1.json: https://gist.github.com/dlh3/3c2fd8da69cb4543c925 Snapshot fromthe Live Copy child (Blueprint tab is disabled): [img]child-livecopy_tab.png[/img] Both Blueprint and Live Copy tabs are disabled on the master/blueprint page. Using the Blueprint Control Center (/etc/blueprints.html) the ""Edit blueprint config"" also launches a disabled dialog. I've discussed this with one of our content managers who indicated that he's never seen the Blueprint tab enabled on a blueprint page. aman Figured out what was needed to enable the Blueprint tab. Here's a screen shot from the blueprint notice that there are no ""Current Live Copies"" listed even though one exists (and changes to the blueprint are copied to the live copy): http://imgur.com/6RjTyc2 "
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Unfortunately your config does not work. High level steps to fix is below. Recommend to reach aem official support team. Step1:- Install the hotfix in the order [1] . Step2:- Make sure PageMoveActoin is in seperate rollout. For your use case correct config is [2]. [1] Install Order1:- NPR-3561 (make sure to upgrade after installing http://localhost:4502/libs/cq/compat/components/ntupgrade.html?path=/libs/wcm/msm/nodetypes/msm.cnd) Install Order 2:- NPR-4441 Install Order 3:- NPR-4331 Install Order 4:- NPR-5780 Install Order 5:- NPR-6068 [2] * PushMove: -> trigger modificaiton action PageMoveActoin * PushDelete -> trigger modification action contentDelete * default -> ... 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,provide list of hotfix installed the output of [1] snapshot of blueprint / livecopy rollout config (Part of page properties dialog) [1] http://<host>:<port>/etc/msm/rolloutconfigs.-1.json 
ims-23b350b44f4613c10a490d45@adobeid.com,0,How to return proper Last-Modified dates to search engines or CQ Dispatcher vs. HTTP Last-Modified vs. file mtime,"Setup description: CQ 5.6.1 with Apache 2.2 /Dispatcher dispatcher-apache2.2-4.1.5 in front of it running on Linux with ext3 file system. Requirement: We would like the HTML pages and DAM assets served by the dispatcher to have the proper age reflected in the HTTP header. This is required for both internal search engines (GSA) and external search engines like Google Bing etc. According to HTTP RFC http://tools.ietf.org/html/rfc2616#section-14.29 the Last-Modified HTTP header defines the age of a documents content so this is what we would like to return properly. (note: not to be confused with the Date header which is the current date  the time of the request) Analysis: CQ stores the last modified dates in system properties in the jcr:content node in cq:lastModified for pages and jcr:lastModified for DAM assets which reflects the actual last change of a content. These dates are or could be returned in HTTP Last-Modified headers. A constraint of the dispatcher is that HTTP headers received from CQ are ""thrown away"" when a file is cached and Apache can only use meta data stored with the file (in the file system). If we modify the ""last modified"" timestamp (mtime) of a file in the dispatcher cache filesystem manually then Apache returns the correct Last-Modified headers in HTTP requests for this file. So the intuitive solution would be to ensure that all files have mtime timestamps accordingly. Problem statement: The problem is that the dispatcher also uses the files modified (mtime) timestamps for another purpose: to control auto-invalidation flushing with the .stat files. A file with a more recent mtime timstamp than the .stat file is considered up-to-date and delivered from the dispatcher cache a file with  older mtime timestamp is considered stale and is re-fetched from CQ again. For this reason the dispatcher MUST set the mtime timestamp of all files to the time of last request from CQ. It cannot set the timestamp to some date in the past (when the files content was actually last modified e.g. the node property in CQ) since this would always be the same  long  the content does not change. Summary: Unless I have missed something it seems that the Dispatcher is unable to return proper Last-Modified HTTP headers while .stat files and auto-invalidation is used - and this is by design. Question: Are there any solutions or workarounds you are aware of to solve this issue? Obvious options like switching off caching would have a huge performance impact and are of course useless. Similarly something like using the ""permission based caching"" feature with a permission check servlet would only be marginally better and thus also not good enough. "
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,agree with  At same time there was internal discussions on this not yet implemented in dispatcher please file daycare to track this. 
ims-6c4e42004d6d22130a04b88b@adobeid.com,1,Reply,Hi you are right when you use the dispatcher for caching any request answered from the cache doesn't have the the proper headers CQ sent along. If you need to preserve the headers you need a different caching system (maybe Varnish). Jrg 
ims-23b350b44f4613c10a490d45@adobeid.com,1,Reply,"Already did ticket ID is:60842 :-) On one hand there maybe a way to implement this in dispatcher (I also suggested this in the ticket): ##### Dispatcher support for last-modified The dispatcher should be changed so that it can handle and store 2 timestamps for every file it caches: the last-modfied timestamp of the content (e.g. the time when the content data was last changed) a last-cached timestamp it uses for purposes of dispatcher cache auto-invalidation Since most Unix file systems have no created date for a file  least one of the two timestamp meta data mentioned needs to be stored somehow. Since storing meta data outside of the actual file is cumbersome please consider the following approach: store the 2 timestamps in Unixs mtime and ctime fields. Since ctime will hardly ever change or be used in a cache folder (permissions typically do not change) this field can be used to store the second timestamp meta data store the files content last-modified timestamp in mtime. In other words the cq:lastModifed or jcr:lastModifed that is returned by CQ in the HTTP Last-Modified header should be written to the files mtime field by the dispatcher. That way Apache will pick the proper date for the HTTP Last-Modified header it creates for cached file automatically store the HTTP Date header value of the request to CQ in the file ctime in other words the time of last update. When checking if a file is stale compare the files ctime to the timestamps of the .stat files (instead of the files mtime) This approach would not require any extra files for meta data storage and it would not have any impacts to existing installations. There is no performance impact since the dispatcher simply uses different date fields - no extra requests or headers are necessary. Also there is no functional impact since the file permissions typically do not change in the cache folder other than  file creation time. See also: http://superuser.com/questions/387042/how-to-check-all-timestamps-of-a-file http://www.unix.com/tips-and-tutorials/20526-mtime-ctime-atime.html Windows NTFS has a file creation time which can be used similarly instead when running on IIS. ##### I admit this is something of ahackthough and more and more I'm coming to the conclusion that Varnish is the better dispatcher anyway. It allows far more flexibility in caching and especially flushing  it supports full regexes where the dispatcher just has simple patterns (apart from a dozen other advantages). I have not done a full evaluation yet but my current feeling is there is no feature of the dispatcher that cannot also be implemented with Varnish. Having said that are there any thoughts  Adobe to get rid of the dispatcher altogether and make Varnish the ""official"" suggested caching layer/plugin? Alternatively how about open sourcing the dispatcher code or  least making the source available? (there have been some occasions where I wanted to know what exactly goes on under the hood and reverse-engineering is cumbersome) "
ims-28030a595408596a0a4c98bc@adobeid.com,0,How to allow filter for both methods POST/GET for servlet in dispatcher.any config,"To allow POST and GET for servlet I need this: { /type ""allow"" /glob ""GET /servlets/Test"" } { /type ""allow"" /glob ""POST /servlets/Test"" } or to use ""*"": { /type ""allow"" /glob ""* /servlets/Test"" } Is there any option to specifyPOST and GET in one row? "
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Use * and in actual servlet just specify methods  GET.POST 
ims-6c4e42004d6d22130a04b88b@adobeid.com,1,Reply,Nope there isn't such available. Jrg 
ims-4bd43b86556ffafe7f000101@adobeid.com,0,'No action' in live copy rollout CQ5,I'm new to CQ5 and learning it. When I try to rollout a live copy from a blueprint page; the actions are create update full update partial update and 'No action' . I would want to know when does a user get 'No action' option. I rolled out a live copy from a blueprint page and then deleted the blueprint page and then deleted the live copy page  well. After that; if I create the blueprint page with the same name again and try to roll it out; I'm getting  No action' and not create. Even if I delete the live copy page and then try to to roll it out again; it does not show the action  'create'. It display 'No action' Is this a bug in AEM 5.6.1? 
ims-4bd43b86556ffafe7f000101@adobeid.com,1,Reply,But after deleting both the live copy and blueprint; and creating the blueprint page with the same name; there is no option of 'CREATE' while roll out. There comes  option of 'No action' while rolling out the page. It means it is storing the history with the blueprint page's name. Can we delete the history forcefully; so that when we create the blueprint page from scratch; and roll out the live copy; 'CREATE' option comes and not 'NO ACTION'.  mentioned in the msm api; the endRelationship method deletes the history of the relation ship. But even after using this method; and creating the pages from scratch; 'NO ACTION' comes while rolling out. Is there a way using whcih we can forcefully set this to 'CREATE' using code? Thanks 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,It is not a bug instead a feature to indicate target (Livecopy) has beendetached. 
ims-f2895e095136e2440a490d4d@adobeid.com,0,Can we remove script type attribute in CQ5.5?,We are using CQ5.5 looking to optimize first paint times on the site can we remove script type attribute? Thanks. 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Make use of rewriter for your requirement. https://sling.apache.org/documentation/bundles/output-rewriting-pipelines-org-apache-sling-rewriter.html 
ims-4727527150aca63e0a490d45@adobeid.com,0,How to configure ffmpeg in sun solaris so that the AEM instance can play the video files,Hi All Good Day We are trying to use the out of box video component on  AEM 5.6.1 instance installed on Solaris 10 platform.  per thehttp://docs.adobe.com/docs/en/cq/current/wcm/default_components/editmode.html documentation I have successfully configured ffmpeg for my local instance installedon windows 7.However no idea how to proceed with the configuration for the test instanceinstalledon the solaris paltofrm Can some throw light / Or guide me to the documentation to acheive this? 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,For testing purpose I use http://ffmpeg.gusari.org/static/64bit/ to get binary & install. Some thing like [1] & make sure to replace <yyyy-dd-mm> with current build. cd /cq/others/ wget http://ffmpeg.gusari.org/static/64bit/ffmpeg.static.64bit.<yyyy-dd-mm>.tar.gz tar -zxvf ffmpeg.static.64bit.<yyyy-dd-mm>.tar.gz sudo ln -s /cq/others/ffmpeg /usr/bin/ffmpeg 
ims-cdfd83a35562e99c7f000101@adobeid.com,0,How to add/specify publish nodes on startup,I know how to start aem instances in diffrent run modes. But how do I specify on my author node where my publish nodes are? I would like to specify this on startup of my author nodes with startup-options or configuration files. Any help or pointers to documentation is highly appreciated. Thanks amano 
ims-cdfd83a35562e99c7f000101@adobeid.com,1,Reply,Thanks  amanza says below we would like to configure this on startup automatically without using the webinterface. Unfortunately I can't find any information that help us on those doc-pointers you gave us. Basically what we would like to do is: java -jar cq5-author-p4502.jar -publish-hosts publishhostname1:4503 publishhostname2:4503 Or if you could specify the publish hosts in sling.properties or any other configuration-file... Thanks amano 
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,you should configure the replication agents in your author . referhttps://docs.adobe.com/docs/en/cq/5-6-1/deploying/replication.html also let us know your usecase why do you need to specify publish nodes on the startup ? 
ims-e491291b5239fed60a490d4c@adobeid.com,1,Reply,Hi! Thanks for your fast reply. We want to automatically set up a test environment initialy with 2 publishers and 1author. So we doesn't want to do any kind of manual stuff in the webbinterface but can put configfiles in the right place or tools to set config. I have also found how to change wish publisher  author sends update to but how to add a second publisher to send info to. Sincerely amanza 
ims-de5368c94f17f5eb0a490d4c@adobeid.com,1,Reply,Hi there Thanks for reaching out to Adobe Community. Please go through the below doc and see if it helps: https://helpx.adobe.com/experience-manager/kb/RunModeSetUp.html Thanks! 
ims-de80578350476e770a490d44@adobeid.com,1,Reply,Hello Why abdella t you use osgi config option via creating another config node under your project in author system (OOTB example can be found under/libs/system)and this configuration information you can get via api in your implementation. For more details also refer this dochttp://www.wemblog.com/2012/10/how-to-work-with-configurations-in-cq.html Thanks Pawan 
ims-6c4e42004d6d22130a04b88b@adobeid.com,1,Reply,Hi amano  said you cannot do this via System properties. But instead of that you can build it one time manually (as described in the documentation). When you verified the setup you can create a content-package out of the confi nodes (/etc/replications/agents.author) and have it ready somewhere. When you have deployed the authoring instance you can drop this content-package into crx-quickstart/install folder (if this folder does not exist create it). Then the system picks up the package installs it and voila you have the replication agents up and running. Does this help? kind regards Jrg 
ims-a49c56b451b5bc4b0a490d4d@adobeid.com,0,Bug in Touch UI Image Component?,Hi I'm not sure if this is a bug in the Touch UI Image component but it seems reproducible Using abato with SP1 Open the following page in Touch UI: http://localhost:4502/editor.html/content/geometrixx-outdoors/en/activities/jola-summer-surfing.html aman the top image on the page - add a Title and Alt Text and save the changes The image is no longer visible in Touch UI or Classic UI. No errors in error.log Is this a bug in the component or alsobrook Outdoors?? Thanks abitong 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply,Hi abitong I could reproduce the issue. Seems something mess up duringhotspots feature. Can you please file  support request to investigate further? Thanks Tweet:- twitter_id 
ims-a49c56b451b5bc4b0a490d4d@adobeid.com,1,Reply,OK I've done that. Thanks 
ims-d8ea4673527a35840a490d45@adobeid.com,0,Is this exam Product Code: 9A0-327 got expired ? Also what are the topics to prepare for 9A0-382 Adobe Experience Manager Component Developer Exam ?,Is this exam Product Code: 9A0-327 got expired ? Also what are the topics to prepare for 9A0-382 Adobe Experience Manager Component Developer Exam ? can any one suggest ? 
ims-d8ea4673527a35840a490d45@adobeid.com,1,Reply, albertine Dhiman wrote... Hi There Thank you for reaching out to Adobe Community. You can refer to the below mentioned link for all the available certifications on Adobe products: http://training.adobe.com/certification/exams.html Thanks!  But when i have logged into the abina for scheduling the exam. It doesn't show up the 9A0-327exam in the Available exams list. 
ims-d8ea4673527a35840a490d45@adobeid.com,1,Reply,Yes I have called up abina and got a reply that 9A0-327 exam got expired. Any link for the 9A0-382 Exam contents(Topics) to prepare.? 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply, Var wrote... Any link for the 9A0-382 Exam contents(Topics) to prepare.?  https://forums.adobe.com/message/4817311 
ims-aea414f64e3935fd0a490d45@adobeid.com,1,Reply, Var wrote... albertine Dhiman wrote... But when i have logged into the abina for scheduling the exam. It doesn't show up the 9A0-327exam in the Available exams list.  did u tried for other exam center. Call abina they will help out . AFAIK it is not expired. 
ims-de5368c94f17f5eb0a490d4c@adobeid.com,1,Reply,Hi There Thank you for reaching out to Adobe Community. You can refer to the below mentioned link for all the available certifications on Adobe products: http://training.adobe.com/certification/exams.html Thanks! 
ims-300611bf4fd8374d0a490d45@adobeid.com,0,Landing pages are single or multipage sites?,"Hi I read this article (https://docs.adobe.com/docs/en/cq/5-6-1/wcm/campaigns/landingpages.html). I could create  Landing pages""with 1 page. My question: It's possibe to create  Landing pages"" with 2 pages? -> e.g. index.html and index2.html or index.html and pages/contact.html? regards abdelhamid "
ims-3e3675e9514b8e6e0a490d4d@adobeid.com,1,Reply,@userbsl - Where do we map Landing page to site? In our content there can be n sites but we want to display landing page only when user tries to access X site 
ims-7f5a4a3c42075ef399201549@adobeid.com,1,Reply,Normally there will be only 1 landing page per site 
ims-7b2c08c246832d599920157f@adobeid.com,1,Reply,"According to the documentation - its 1 page: In AEM you create landing pages by performing the following steps: Create a page in AEM that contains the landing pages canvas. AEM ships with a sample called ""Blank Canvas Page."" Prepare the HTML and assets. Package the resources into a ZIP file referred to here  the ""Design Package."" Import the design package on the page with the canvas. Modify and publish the page. "
ims-976b7596503a54040a490d4d@adobeid.com,0,How metadata is synced from Adobe bridge to AEM," Our authors are creating assets and adding metadata (Keywords) in Adobe bridge and after they are uploading assets in AEM manually. We are not using connector between Bridge and AEM. I can see there are multiple Keywords added in Bridge but those are not reflecting in AEM upon asset upload. I followed this page -http://docs.adobe.com/docs/en/cq/current/dam/using_cq5_dam_increativeproduction.html It says that Keywords will be mapped into AEM. But I do not see those metadata automatically extracted byAEM. When I see thoseimage details property in Windows explorer then it does not show ""Keywords"" metadata either. Question: AEM will extract those ""Keywords"" XMP metadataautomatically only when there is a connector between Bridge and AEM? "
ims-7ad41042547ff7720a4c98a4@adobeid.com,1,Reply,thanks a lot for your post 
